timestamp,date,hour,day_of_week,day_name,month,is_weekend,total_kwh,hvac_kwh,lighting_kwh,equipment_kwh,occupancy,temperature_c,humidity_pct
2023-01-01 00:00:00,2023-01-01,0,6,Sunday,1,1,31.35,8.84,3.2,4.93,1,7.0,33.2
2023-01-01 01:00:00,2023-01-01,1,6,Sunday,1,1,32.54,4.01,3.82,5.85,1,7.4,40.1
2023-01-01 02:00:00,2023-01-01,2,6,Sunday,1,1,26.4,6.63,2.42,3.74,2,10.2,32.6
2023-01-01 03:00:00,2023-01-01,3,6,Sunday,1,1,29.82,9.01,2.51,5.95,4,10.9,30.7
2023-01-01 04:00:00,2023-01-01,4,6,Sunday,1,1,30.74,6.83,2.3,2.66,1,13.9,54.2
2023-01-01 05:00:00,2023-01-01,5,6,Sunday,1,1,24.38,8.63,1.97,5.18,1,10.5,41.4
2023-01-01 06:00:00,2023-01-01,6,6,Sunday,1,1,44.99,6.7,5.88,7.54,11,16.6,62.9
2023-01-01 07:00:00,2023-01-01,7,6,Sunday,1,1,42.4,11.89,3.99,6.66,13,8.6,46.3
2023-01-01 08:00:00,2023-01-01,8,6,Sunday,1,1,41.82,6.6,4.25,7.25,9,5.1,74.9
2023-01-01 09:00:00,2023-01-01,9,6,Sunday,1,1,66.99,11.07,5.76,7.25,11,16.1,54.7
2023-01-01 10:00:00,2023-01-01,10,6,Sunday,1,1,57.77,13.77,7.38,10.83,16,13.3,78.8
2023-01-01 11:00:00,2023-01-01,11,6,Sunday,1,1,75.41,17.32,6.82,11.51,11,5.5,69.1
2023-01-01 12:00:00,2023-01-01,12,6,Sunday,1,1,59.39,14.4,4.95,12.32,21,9.1,58.0
2023-01-01 13:00:00,2023-01-01,13,6,Sunday,1,1,64.08,17.28,5.09,7.0,23,7.1,81.1
2023-01-01 14:00:00,2023-01-01,14,6,Sunday,1,1,76.53,16.16,8.43,11.72,16,10.4,78.6
2023-01-01 15:00:00,2023-01-01,15,6,Sunday,1,1,66.91,18.65,5.32,10.71,29,15.6,77.3
2023-01-01 16:00:00,2023-01-01,16,6,Sunday,1,1,54.23,15.05,6.07,7.94,23,8.5,43.4
2023-01-01 17:00:00,2023-01-01,17,6,Sunday,1,1,42.81,9.12,2.85,5.22,5,8.3,57.3
2023-01-01 18:00:00,2023-01-01,18,6,Sunday,1,1,44.05,8.35,2.74,7.07,3,10.3,31.8
2023-01-01 19:00:00,2023-01-01,19,6,Sunday,1,1,46.57,9.95,4.35,6.78,8,13.7,71.9
2023-01-01 20:00:00,2023-01-01,20,6,Sunday,1,1,44.16,11.23,4.03,7.19,7,10.2,74.9
2023-01-01 21:00:00,2023-01-01,21,6,Sunday,1,1,30.7,7.52,3.53,3.87,3,5.2,58.2
2023-01-01 22:00:00,2023-01-01,22,6,Sunday,1,1,25.09,7.25,1.75,5.29,1,15.9,67.2
2023-01-01 23:00:00,2023-01-01,23,6,Sunday,1,1,29.38,7.52,1.89,3.28,0,11.7,44.3
2023-01-02 00:00:00,2023-01-02,0,0,Monday,1,0,55.64,12.78,4.78,8.49,6,9.4,49.2
2023-01-02 01:00:00,2023-01-02,1,0,Monday,1,0,48.74,11.57,5.1,4.34,7,15.2,66.8
2023-01-02 02:00:00,2023-01-02,2,0,Monday,1,0,49.4,8.92,6.27,8.96,1,7.1,60.2
2023-01-02 03:00:00,2023-01-02,3,0,Monday,1,0,41.41,11.13,3.53,5.59,3,9.8,70.9
2023-01-02 04:00:00,2023-01-02,4,0,Monday,1,0,44.58,8.5,4.72,6.55,5,8.4,43.4
2023-01-02 05:00:00,2023-01-02,5,0,Monday,1,0,50.69,10.6,5.7,6.51,3,13.7,77.5
2023-01-02 06:00:00,2023-01-02,6,0,Monday,1,0,106.0,22.09,10.22,20.99,36,17.9,55.8
2023-01-02 07:00:00,2023-01-02,7,0,Monday,1,0,119.63,27.99,8.65,18.75,50,17.5,76.9
2023-01-02 08:00:00,2023-01-02,8,0,Monday,1,0,103.35,20.61,12.03,16.3,37,12.2,81.5
2023-01-02 09:00:00,2023-01-02,9,0,Monday,1,0,164.04,37.99,19.41,21.32,106,8.8,47.7
2023-01-02 10:00:00,2023-01-02,10,0,Monday,1,0,184.33,28.66,16.85,26.69,121,15.5,74.6
2023-01-02 11:00:00,2023-01-02,11,0,Monday,1,0,202.15,38.67,16.79,29.85,94,9.9,35.2
2023-01-02 12:00:00,2023-01-02,12,0,Monday,1,0,147.85,23.96,12.73,22.65,81,12.7,31.7
2023-01-02 13:00:00,2023-01-02,13,0,Monday,1,0,157.7,35.41,10.78,23.7,63,15.9,40.7
2023-01-02 14:00:00,2023-01-02,14,0,Monday,1,0,163.78,37.82,11.48,19.93,104,5.5,51.9
2023-01-02 15:00:00,2023-01-02,15,0,Monday,1,0,149.2,29.12,11.03,23.77,86,10.3,39.5
2023-01-02 16:00:00,2023-01-02,16,0,Monday,1,0,159.73,30.23,14.68,27.49,75,17.4,70.6
2023-01-02 17:00:00,2023-01-02,17,0,Monday,1,0,94.31,16.22,8.81,17.3,43,6.5,32.5
2023-01-02 18:00:00,2023-01-02,18,0,Monday,1,0,89.01,24.12,11.07,14.71,40,14.9,74.4
